,南礼士路,崇文门,北京站,国家图书馆,张自忠路,白石桥南,广渠门内,森林公园南门,军事博物馆,首经贸,安贞门,,霍营,菜户营,崔各庄,木樨地,,,,,,朱辛庄,,稻田,,,,四海庄,同济南路,工人体育场,三元桥,,广渠路,北京大剧院
,复兴门,前门,建国门,动物园,北新桥,车公庄西,广渠门外,奥林匹克公园,白堆子,纪家庙,惠新西街南口,,立水桥,西铁营,望京东,玉渊潭东门,,,,,,生命科学园,,大葆台,,,,太和桥北,经海路,团结湖,,,广渠东路,张家湾西
,西单,和平门,朝阳门,西直门,雍和宫,车公庄,双井,奥体中心,白石桥南,草桥,芍药居,,北苑,景风门,望京西,甘家口,,,,,,西二旗,,郭公庄,,,,瑞合庄,次渠南,朝阳公园,,,,张家湾西
,天安门西,宣武门,东四十条,新街口,和平里北街,平安里,九龙山,北土城,国家图书馆,角门西,太阳宫,,望京西,北京南站,望京西,二里沟,,,,,,清河站,,白盆窑,,,,融兴街,次渠,,,,,张家湾东
,天安门东,长椿街,东直门,平安里,和平西桥,北海北,大郊亭,安华桥,,角门东,三元桥,,芍药居,永定门外,关庄,国家图书馆,,,,,,朱房北,,花乡东桥,,,,屈庄（奔驰南）,亦庄火车站,,,,,
,王府井,复兴门,雍和宫,西四,惠新西街南口,南锣鼓巷,百子湾,安德里北街,,大红门,亮马桥,,光熙门,景泰,大屯路东,万寿寺,,,,,,清河小营桥,,首经贸,,,,,,,,,,
,东单,阜成门,安定门,灵境胡同,惠新西街北口,东四,化工,鼓楼大街,,石榴庄,农业展览馆,,柳芳,蒲黄榆,安立路,苏州桥,,,,,,学知园,,东管头南,,,,,,,,,,
,建国门,车公庄,鼓楼大街,西单,大屯路东,朝阳门,南楼梓庄,什刹海,,宋家庄,团结湖,,东直门,方庄,奥林匹克公园,苏州街,,,,,,六道口,,,,,,,,,,,,
,永安里,西直门,积水潭,宣武门,北苑路北,东大桥,欢乐谷景区,南锣鼓巷,,成寿寺,呼家楼,,,十里河,北沙滩,万泉河桥,,,,,,学院桥,,,,,,,,,,,,
,国贸,,,菜市口,立水桥南,呼家楼,垡头,中国美术馆,,分钟寺,金台夕照,,,北工大西门,六道口,西苑,,,,,,西土城,,,,,,,,,,,,
,大望路,,,陶然亭,立水桥南,金台路,双合,金鱼胡同,,十里河,国贸,,,平乐园,清华东路西口,农大南路,,,,,,,,,,,,,,,,,,
,四惠,,,北京南站,天通苑南,十里堡,焦化厂,王府井,,潘家园,双井,,,九龙山,,马连洼,,,,,,,,,,,,,,,,,,
,四惠东,,,马家堡,天通苑南,青年路,黄厂,前门,,劲松,劲松,,,大望路,,西北旺,,,,,,,,,,,,,,,,,,
,高碑店,,,角门西,天通苑北,褡裢坡,郎辛庄,珠市口,,双井,潘家园,,,金台路,,永丰南,,,,,,,,,,,,,,,,,,
,传媒大学,,,公益西桥,,黄渠,黑庄户,天桥,,国贸,十里河,,,朝阳公园,,永丰,,,,,,,,,,,,,,,,,,
,双桥,,,新宫,,常营,万盛西,永定门外,,金台夕照,分钟寺,,,枣营,,屯佃,,,,,,,,,,,,,,,,,,
,管庄,,,西红门,,草房,万盛东,木樨园,,呼家楼,成寿寺,,,东风北桥,,稻香湖路,,,,,,,,,,,,,,,,,,
,八里桥,,,高米店北,,物资学院路,群芳,海户屯,,团结湖,宋家庄,,,将台,,温阳路,,,,,,,,,,,,,,,,,,
,通州北苑,,,高米店南,,通州北关,高楼金,大红门南,,农业展览馆,石榴庄,,,望京南,,北安河,,,,,,,,,,,,,,,,,,
,果园,,,枣园,,北运河西,花庄,和义,,亮马桥,大红门,,,阜通,,,,,,,,,,,,,,,,,,,,
,九棵树,,,清源路,,北运河东,环球度假区,东高地,,三元桥,角门东,,,望京南,,,,,,,,,,,,,,,,,,,,
,梨园,,,黄村西大街,,郝家府,,火箭万源,,太阳宫,角门西,,,东湖渠,,,,,,,,,,,,,,,,,,,,
,临河里,,,黄村火车站,,东夏园,,五福堂,,芍药居,草桥,,,来广营,,,,,,,,,,,,,,,,,,,,
,土桥,,,义和庄,,潞城,,德茂,,惠新西街南口,纪家庙,,,善各庄,,,,,,,,,,,,,,,,,,,,
,花庄,,,生物医药基地,,,,瀛海,,安贞门,首经贸,,,,,,,,,,,,,,,,,,,,,,,
,环球度假区,,,天宫院,,,,,,北土城,丰台站,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,健德门,泥洼,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,牡丹园,西局,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,西土城,六里桥,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,知春路,莲花桥,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,知春里,公主坟,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,海淀黄庄,西钓鱼台,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,苏州街,慈寿寺,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,巴沟,车道沟,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,火器营,长春桥,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,长春桥,火器营,,,,,,,,,,,,,,,,,,,,,,,
